filename,niqe_foggy,niqe_dehazed,niqe_improvement,brisque_foggy,brisque_dehazed,brisque_improvement,entropy_foggy,entropy_dehazed,entropy_improvement,gradient_foggy,gradient_dehazed,gradient_improvement,saturation_foggy,saturation_dehazed,saturation_improvement
foggy_0063_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.2808,5.7172,-0.5636,12.5542,52.9163,40.3621,251.8353,138.2734,-113.5619
foggy_0064_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.0191,5.4672,-0.5519,18.3639,38.9077,20.5438,103.1497,101.4709,-1.6788
foggy_0065_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.9163,6.4370,-0.4793,27.7469,86.5351,58.7881,72.5641,87.0838,14.5197
foggy_0066_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.0470,7.0811,0.0341,25.7554,93.1244,67.3690,75.7879,159.8850,84.0972
foggy_0067_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7179,6.2167,-0.5012,17.9455,44.8323,26.8868,213.0718,150.8557,-62.2162
foggy_0068_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7631,6.9185,0.1554,49.3194,59.3965,10.0771,222.2139,156.5445,-65.6694
foggy_0069_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.1956,5.7619,-0.4337,22.4334,40.3398,17.9064,135.5860,86.8548,-48.7312
foggy_0070_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.9196,6.5778,-0.3418,14.8209,92.4815,77.6606,94.6364,113.6385,19.0021
foggy_0071_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.1415,6.9042,-0.2373,21.9053,67.0166,45.1113,54.2847,126.4569,72.1723
foggy_0072_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.9248,7.2776,0.3528,42.7486,102.8701,60.1215,55.1389,110.1983,55.0594
foggy_0073_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.3054,7.1767,-0.1287,22.1116,65.0957,42.9841,157.9718,111.7414,-46.2304
foggy_0074_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.5898,7.4737,-0.1161,37.0970,132.7961,95.6992,61.1190,132.3405,71.2215
foggy_0075_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.8535,7.0766,0.2231,38.8683,96.4138,57.5455,88.6756,98.0438,9.3681
foggy_0076_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,5.8522,6.6692,0.8170,23.1584,63.0144,39.8560,96.5085,90.9088,-5.5998
foggy_0077_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.5944,7.5409,-0.0535,92.0788,81.2686,-10.8102,0.0000,39.7558,39.7558
foggy_0078_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7774,6.7433,-0.0340,26.1885,41.3691,15.1805,0.0000,42.8944,42.8944
foggy_0079_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,7.1277,7.1055,-0.0222,34.7299,67.8677,33.1378,60.6671,124.1395,63.4724
foggy_0080_real_A.png,N/A,N/A,N/A,N/A,N/A,N/A,6.7461,7.1607,0.4146,23.1957,83.7532,60.5575,43.9227,151.5245,107.6018
